                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.69703,                0.41748,                 1.0338,                0.98276,                0.96188,                  0.995,                0.77572,                0.90992,                0.37261,                 1.2723,              0.0010032,              0.0010032,              0.0010032
                    101,                0.72224,                0.41373,                  1.069,                0.79902,                 0.8712,                0.82204,                 0.6342,                 0.8901,                  1.018,                 1.2428,              0.0010021,              0.0010021,              0.0010021
                    102,                 0.7322,                0.41541,                 1.0415,                0.88215,                0.95798,                   0.95,                0.74868,                0.86489,                0.41738,                 1.2518,               0.001001,               0.001001,               0.001001
                    103,                  0.706,                0.41666,                 1.0183,                0.90299,                0.93767,                0.97377,                0.74018,                0.88437,                0.44275,                 1.2797,             0.00099991,             0.00099991,             0.00099991
                    104,                0.68763,                0.51675,                  1.023,                0.96067,                0.98314,                  0.995,                0.76258,                 0.8824,                0.34164,                 1.2627,             0.00099881,             0.00099881,             0.00099881
                    105,                 0.6822,                0.47091,                 1.0368,                0.98317,                0.98779,                0.99433,                0.77473,                 0.8607,                0.35378,                 1.2482,             0.00099771,             0.00099771,             0.00099771
                    106,                0.76104,                0.43164,                 1.0722,                0.99328,                      1,                  0.995,                0.76801,                0.90432,                0.32572,                 1.2827,             0.00099661,             0.00099661,             0.00099661
                    107,                0.70002,                0.50487,                 1.0578,                0.98965,                0.94071,                  0.985,                0.76851,                0.88108,                0.34613,                 1.2475,             0.00099551,             0.00099551,             0.00099551
                    108,                0.70984,                0.40987,                 1.0288,                0.84764,                0.94585,                  0.995,                0.76281,                 0.9266,                0.50381,                 1.2967,             0.00099441,             0.00099441,             0.00099441
                    109,                0.69942,                0.42022,                 1.0181,                0.96553,                0.95866,                  0.995,                 0.7692,                0.91482,                0.36915,                 1.2833,             0.00099331,             0.00099331,             0.00099331
                    110,                0.69118,                0.36926,                 1.0254,                0.89916,                0.90172,                0.97253,                 0.7382,                0.92389,                0.51528,                 1.3182,             0.00099221,             0.00099221,             0.00099221
                    111,                 0.7026,                0.38612,                 1.0247,                0.92548,                 0.9856,                  0.985,                0.78267,                0.88091,                0.34778,                 1.2545,             0.00099111,             0.00099111,             0.00099111
                    112,                0.69931,                0.42668,                 1.0429,                0.98381,                0.99598,                  0.995,                0.78901,                0.92688,                0.33637,                 1.3043,             0.00099001,             0.00099001,             0.00099001
